source,target,date,weight
1556,0,2001-01-01,1.0
1579,1401,2001-01-01,1.0
1647,2395,2001-01-01,1.0
1740,4409,2001-01-01,1.0
1755,3783,2001-01-01,1.0
892,4822,2001-01-01,1.0
835,3034,2001-01-01,1.0
0,3864,2001-01-01,1.0
724,2609,2001-01-01,1.0
238,3685,2001-01-01,1.0
279,2596,2001-01-01,1.0
287,156,2001-01-01,1.0
0,137,2001-01-01,2.0
304,4020,2001-01-01,1.0
311,4021,2001-01-01,1.0
319,3169,2001-01-01,1.0
350,3845,2001-01-01,1.0
0,106,2001-01-01,1.0
369,1461,2001-01-01,1.0
392,2952,2001-01-01,1.0
1811,1916,2001-01-01,1.0
396,39,2001-01-01,1.0
450,309,2001-01-01,1.0
536,4910,2001-01-01,1.0
562,461,2001-01-01,1.0
584,1001,2001-01-01,1.0
588,706,2001-01-01,1.0
588,1315,2001-01-01,1.0
593,5076,2001-01-01,1.0
632,2163,2001-01-01,1.0
642,4487,2001-01-01,1.0
666,369,2001-01-01,1.0
709,52,2001-01-01,1.0
435,917,2001-01-01,1.0
5076,0,2001-01-01,1.0
